﻿"ID","Severity","Class","Description","Last Update","Count","Category",
"122","Repaired","Network","HPE Eth 10/25Gb 2p 640FLR-SFP28 Adptr Connectivity status changed to OK for adapter in slot 0, port 2","10/12/2025 11:05:05","1","Hardware",
"121","Repaired","Network","HPE Eth 10/25Gb 2p 640FLR-SFP28 Adptr Connectivity status changed to OK for adapter in slot 0, port 1","10/12/2025 11:05:05","1","Hardware",
"120","Critical","System Error","Server Critical Fault (Service Information: Runtime Fault, Memory,  Processor 1 Memory Channels 1-3 (04h))         
","10/12/2025 11:04:27","1","Other",
"119","Repaired","Network","HPE Eth 10/25Gb 2p 640SFP28 Adptr Connectivity status changed to OK for adapter in slot 1, port 2","09/27/2025 10:07:02","1","Hardware",
"118","Repaired","Network","HPE Eth 10/25Gb 2p 640SFP28 Adptr Connectivity status changed to OK for adapter in slot 1, port 1","09/27/2025 10:07:02","1","Hardware",
"117","Repaired","Network","HPE Eth 10/25Gb 2p 640FLR-SFP28 Adptr Connectivity status changed to OK for adapter in slot 0, port 2","09/27/2025 10:07:02","1","Hardware",
"116","Repaired","Network","HPE Eth 10/25Gb 2p 640FLR-SFP28 Adptr Connectivity status changed to OK for adapter in slot 0, port 1","09/27/2025 10:07:01","1","Hardware",
"115","Repaired","Network","HPE Eth 10/25Gb 2p 640SFP28 Adptr Connectivity status changed to OK for adapter in slot 1, port 2","07/28/2025 19:58:49","1","Hardware",
"114","Repaired","Network","HPE Eth 10/25Gb 2p 640SFP28 Adptr Connectivity status changed to OK for adapter in slot 1, port 1","07/28/2025 19:58:49","1","Hardware",
"113","Repaired","Network","HPE Eth 10/25Gb 2p 640FLR-SFP28 Adptr Connectivity status changed to OK for adapter in slot 0, port 2","07/28/2025 19:58:48","1","Hardware",
"112","Repaired","Network","HPE Eth 10/25Gb 2p 640FLR-SFP28 Adptr Connectivity status changed to OK for adapter in slot 0, port 1","07/28/2025 19:58:48","1","Hardware",
"111","Repaired","Network","HPE Eth 10/25Gb 2p 640FLR-SFP28 Adptr Connectivity status changed to OK for adapter in slot 0, port 2","07/27/2025 19:54:18","1","Hardware",
"110","Repaired","Network","HPE Eth 10/25Gb 2p 640FLR-SFP28 Adptr Connectivity status changed to OK for adapter in slot 0, port 1","07/27/2025 19:54:18","1","Hardware",
"109","Repaired","Power","System Power Supplies Not Redundant","05/10/2025 03:49:41","1","Power",
"108","Repaired","Power","System Power Supply: Input Power Loss or Unplugged Power Cord, Verify Power Supply Input (Power Supply 1)","05/10/2025 03:49:41","1","Power",
"107","Repaired","Power","System Power Supplies Not Redundant","05/04/2025 11:29:15","1","Power",
"106","Repaired","Power","System Power Supply: Input Power Loss or Unplugged Power Cord, Verify Power Supply Input (Power Supply 2)","05/04/2025 11:29:14","1","Power",
"105","Repaired","Power","System Power Supplies Not Redundant","05/04/2025 06:33:30","1","Power",
"104","Repaired","Power","System Power Supply: Input Power Loss or Unplugged Power Cord, Verify Power Supply Input (Power Supply 1)","05/04/2025 06:33:30","1","Power",
"103","Repaired","Network","HPE Eth 10/25Gb 2p 640SFP28 Adptr Connectivity status changed to OK for adapter in slot 1, port 2","04/05/2025 09:43:11","1","Hardware",
"102","Repaired","Network","HPE Eth 10/25Gb 2p 640SFP28 Adptr Connectivity status changed to OK for adapter in slot 1, port 1","04/05/2025 09:43:11","1","Hardware",
"101","Repaired","Network","HPE Eth 10/25Gb 2p 640FLR-SFP28 Adptr Connectivity status changed to OK for adapter in slot 0, port 2","04/05/2025 09:43:11","1","Hardware",
"100","Repaired","Network","HPE Eth 10/25Gb 2p 640FLR-SFP28 Adptr Connectivity status changed to OK for adapter in slot 0, port 1","04/05/2025 09:43:11","1","Hardware",
"99","Repaired","Network","HPE Eth 10/25Gb 2p 640SFP28 Adptr Connectivity status changed to OK for adapter in slot 1, port 2","07/20/2024 02:32:15","1","Hardware",
"98","Repaired","Network","HPE Eth 10/25Gb 2p 640SFP28 Adptr Connectivity status changed to OK for adapter in slot 1, port 1","07/20/2024 02:32:15","1","Hardware",
"97","Repaired","Network","HPE Eth 10/25Gb 2p 640FLR-SFP28 Adptr Connectivity status changed to OK for adapter in slot 0, port 2","07/20/2024 02:32:15","1","Hardware",
"96","Repaired","Network","HPE Eth 10/25Gb 2p 640FLR-SFP28 Adptr Connectivity status changed to OK for adapter in slot 0, port 1","07/20/2024 02:32:15","1","Hardware",
"95","Repaired","Network","HPE Eth 10/25Gb 2p 640FLR-SFP28 Adptr - NIC Connectivity status changed to OK for adapter in slot 0, port 2","06/16/2024 01:19:16","1","Hardware",
"94","Repaired","Network","HPE Eth 10/25Gb 2p 640FLR-SFP28 Adptr - NIC Connectivity status changed to OK for adapter in slot 0, port 1","06/16/2024 01:19:16","1","Hardware",
"93","Critical","Network"," All links are down in adapter HPE Eth 10/25Gb 2p 640FLR-SFP28 Adptr in slot 0","06/16/2024 01:13:04","1","Hardware",
